appid,genre
3822430,Free To Play
2403270,
3863130,Indie
3863130,Simulation
3863130,Strategy
3863130,Free To Play
2446040,Adventure
2446040,Casual
2446040,Indie
2446040,RPG
3015310,Action
1537700,Action
1537700,Indie
1580330,Indie
1580330,Strategy
1580330,Early Access
1599070,Adventure
1599070,Indie
3863120,Action
3863120,Adventure
3863120,RPG
3863120,Early Access
3216090,Casual
3216090,Indie
3056730,Adventure
3056730,Indie
3015260,Adventure
3015260,Indie
3015260,Free To Play
2446010,RPG
2446010,Strategy
2446010,Early Access
3215840,Casual
3215840,Indie
3215840,Simulation
3215840,Strategy
3056720,Adventure
3056720,Free To Play
3822340,Action
3822340,Adventure
3822340,Casual
3822340,Indie
3822340,RPG
3822340,Simulation
2403130,Casual
1724860,Casual
1724860,Free To Play
1724860,Massively Multiplayer
1724860,Simulation
1724860,Strategy
3015250,Indie
3015250,Early Access
1543620,Adventure
1543620,Casual
1543620,Indie
1543620,Strategy
2445990,Adventure
2445990,Indie
2445990,RPG
2002600,Indie
2002600,RPG
1254120,Action
1254120,Massively Multiplayer
1254120,RPG
1254120,Free To Play
3056660,Casual
3056660,Indie
3056660,Simulation
3056660,Free To Play
3015230,Simulation
1580300,RPG
1537540,Casual
1789130,Indie
1789130,RPG
1599020,Action
1599020,Adventure
1599020,Indie
3863000,Adventure
3863000,Casual
3863000,Indie
3863000,RPG
3863000,Simulation
3215800,Action
3215800,Casual
3215800,Indie
3215800,Simulation
2403110,Adventure
2403110,Indie
2403110,RPG
2403110,Strategy
3015190,Casual
1981690,Adventure
1981690,Casual
1981690,Indie
3822300,Adventure
3822300,Indie
3822300,RPG
3215740,Indie
3056640,Casual
3056640,Indie
3056640,Free To Play
3015180,Casual
3015180,Indie
3015180,RPG
2445940,Action
2445940,Adventure
2445940,Casual
2403100,Casual
2403100,Indie
2403100,Simulation
2403100,Strategy
1378990,Action
3822270,Casual
3822270,Free To Play
3215680,Action
3215680,Adventure
3215680,Indie
3056610,Massively Multiplayer
3056610,Free To Play
3015150,Action
3015150,Adventure
3015150,Indie
3015150,Early Access
2403090,Action
2403090,Adventure
2403090,Casual
2403090,Indie
2445910,Action
2445910,Casual
1537480,Adventure
1537480,Casual
1537480,Indie
1537480,RPG
1537480,Strategy
3862950,Adventure
3862950,RPG
3862950,Strategy
3215660,Adventure
3215660,Indie
3056600,Indie
3056600,Free To Play
2403080,Action
2403080,Adventure
2403080,Casual
2403080,RPG
2403080,Simulation
2445900,Casual
3015140,Adventure
1537470,Action
1537470,Indie
1537470,Racing
1724810,Adventure
1724810,Casual
1724810,Indie
1906180,Casual
1906180,Indie
1906180,Simulation
2002570,Indie
2002570,Simulation
2002570,Strategy
3056590,Action
3056590,Adventure
3056590,Casual
3056590,Indie
3056590,Racing
3056590,Sports
3056590,Strategy
3015130,Casual
2403060,Adventure
2403060,Casual
2403060,Simulation
2445870,Action
2445870,Indie
2445870,RPG
2445870,Early Access
1580290,Action
1580290,Casual
1580290,Indie
1587190,Casual
1587190,Indie
1587190,Strategy
1599000,Action
1599000,Indie
3822180,Action
3822180,Adventure
3822180,Indie
3862930,Action
3862930,Adventure
3862930,Casual
3862930,Simulation
3862930,Sports
3862930,Strategy
3215590,Adventure
3215590,Indie
3056580,Casual
3056580,Indie
3056580,Simulation
3056580,Strategy
3015120,Action
2403050,Adventure
2403050,Indie
1537430,Action
1537430,Indie
1981610,Action
1981610,Adventure
3862920,Action
3862920,Adventure
3862920,Casual
3862920,Simulation
3862920,Sports
3862920,Strategy
3015110,Casual
2445820,Casual
2445820,Indie
2445820,RPG
2445820,Simulation
1537410,Racing
3822160,Indie
3215560,Action
3215560,Adventure
3215560,Indie
3215560,Early Access
3015100,Casual
2403020,Action
2403020,Casual
2403020,Indie
3822140,Action
3822140,Adventure
3822140,Casual
3822140,Indie
1537340,Action
1537340,Simulation
3056480,Action
2445780,Adventure
2445780,Casual
2445780,Indie
2445780,RPG
2445780,Early Access
2403000,Casual
1724770,Action
1724770,Indie
1724770,Strategy
1906160,Indie
2002560,Adventure
2002560,Casual
2002560,Indie
2002560,Free To Play
3862860,Adventure
3862860,Casual
3862860,Indie
3822130,Casual
3822130,Indie
3056430,Action
3056430,Adventure
3056430,Indie
2402990,Action
2402990,Casual
2402990,Indie
2402990,Simulation
2445750,Action
2445750,Casual
2445750,Sports
1580260,Indie
1789100,Indie
1789100,Strategy
1598970,Adventure
1598970,Casual
1598970,Indie
3822120,Indie
3822120,Simulation
3862840,Casual
3862840,Indie
3862840,Strategy
2402980,Casual
3056420,Adventure
3056420,Casual
3056420,Indie
3014930,Action
3014930,Indie
3014930,Strategy
2445700,Casual
2445700,Indie
2445700,RPG
1981590,Casual
1981590,Indie
3822100,Action
3822100,Indie
3862830,Casual
3862830,Strategy
3215480,Casual
3215480,Indie
3215480,Strategy
3056370,Action
3056370,Casual
3056370,Simulation
3056370,Strategy
3056370,Free To Play
3014910,Adventure
3014910,Indie
2445690,Action
2445690,Adventure
2445690,Indie
2445690,RPG
2445690,Early Access
1543590,Adventure
1543590,Indie
1543590,RPG
1543590,Simulation
1543590,Strategy
1543590,Early Access
1537090,Action
1537090,Indie
1378890,Casual
1378890,Indie
1378890,Simulation
1378890,Strategy
3822050,Casual
3822050,Indie
3056350,Action
3056350,Adventure
3056350,Indie
2402930,Indie
2402930,Strategy
2445680,Casual
2445680,Indie
2445680,Simulation
2445680,Free To Play
1537080,Adventure
1537080,Indie
1537080,RPG
1521190,Indie
1724700,Casual
1724700,Strategy
1340360,Action
1340360,Adventure
1340360,Indie
1906150,Indie
2002550,Action
2002550,Adventure
2002550,Casual
2002550,Indie
2002550,Strategy
3601450,Casual
3601450,Massively Multiplayer
3601450,Simulation
3601450,Sports
3601450,Strategy
3601450,Free To Play
3686450,Action
3686450,Indie
3466300,Indie
3056310,Strategy
3056310,Free To Play
3056310,Early Access
2445660,Simulation
2445660,Strategy
2445660,Free To Play
2203850,Action
2203850,Early Access
2599370,Action
2599370,Indie
2599370,Early Access
3601420,Casual
3601420,Massively Multiplayer
3601420,Simulation
3601420,Sports
3601420,Strategy
3601420,Free To Play
3466280,Adventure
3466280,Indie
3466280,Early Access
3386660,Adventure
3386660,Casual
3386660,Indie
3056300,Casual
3056300,Indie
3056300,Early Access
3215350,Strategy
2445640,Action
2445640,Indie
2599360,Action
2599360,Casual
1789090,Adventure
1789090,Casual
1789090,Indie
1314000,Action
1314000,Adventure
1314000,Casual
1314000,Indie
1314000,RPG
1981570,Strategy
2203800,Casual
2203800,Indie
2203800,Simulation
2445540,Action
1378870,Indie
1378870,Strategy
2599310,Action
2599310,Adventure
1843190,Action
1843190,Casual
3466230,Action
3466230,Free To Play
3215310,Casual
3215310,Indie
3215310,Strategy
3056220,Adventure
3056220,Casual
3056220,Indie
3056220,RPG
3056220,Strategy
2203790,Casual
2203790,Indie
2203790,Simulation
2599300,Simulation
1724670,Adventure
1724670,Indie
1724670,Strategy
1724670,Early Access
1521160,Casual
1906140,Casual
1906140,Indie
3686200,Casual
3686200,Simulation
3601310,Action
3601310,Strategy
3386480,Simulation
3466180,Adventure
3466180,Indie
3215300,Adventure
3215300,Casual
3215300,Indie
3056110,Action
3056110,Casual
3056110,Indie
3056110,Sports
3014710,Casual
2445490,Adventure
2445490,Indie
2203780,Casual
2203780,Indie
2203780,Simulation
3686170,Action
3686170,Indie
3686170,RPG
3601300,Casual
3601300,Racing
3466130,Casual
3466130,Indie
3466130,Simulation
3215290,Action
3215290,Adventure
3215290,Casual
3215290,Indie
3215290,RPG
3215290,Simulation
3215290,Sports
3215290,Early Access
3386380,Casual
3386380,Indie
3386380,Strategy
3056090,Action
3056090,Adventure
3056090,Casual
3056090,Indie
3014680,RPG
3014680,Simulation
3014680,Strategy
3014680,Early Access
2445460,Casual
2445460,Simulation
2203770,Casual
2203770,RPG
2203770,Simulation
2599270,Action
2599270,Casual
2599270,Indie
2599270,Strategy
1789080,Casual
1598930,Casual
1598930,Indie
1598930,RPG
1580240,RPG
1313970,Casual
1313970,Indie
1313970,Simulation
3686140,Action
3686140,Adventure
3686140,Indie
3466110,Action
3466110,Strategy
3601210,Action
3601210,Casual
3601210,Indie
3386360,Action
3386360,Adventure
3386360,Casual
3386360,Indie
3386360,Racing
3386360,RPG
3386360,Simulation
3056070,Casual
3056070,Simulation
3056070,Strategy
3056070,Free To Play
3056070,Early Access
2445440,Action
2445440,Adventure
2445440,Casual
2445440,Indie
2445440,Simulation
2203730,Adventure
2203730,Casual
2203730,Indie
2599260,Action
2599260,Adventure
2599260,RPG
1543530,Indie
1543530,Strategy
1253930,Action
1253930,Adventure
1253930,Casual
1253930,Indie
3601190,Casual
3601190,Indie
3601190,Simulation
3601190,Sports
3601190,Strategy
3215270,Action
3215270,Adventure
3215270,Indie
3215270,Strategy
3215270,Free To Play
3056040,Action
3056040,Adventure
3056040,Indie
3056040,Early Access
3014610,Indie
2203720,Indie
2203720,RPG
2203720,Simulation
2599220,RPG
3465900,Casual
3465900,Indie
3465900,Simulation
3465900,Early Access
3386300,Adventure
3014600,Casual
3014600,Indie
3014600,Simulation
2445420,Adventure
2445420,Simulation
2203710,Action
2203710,Adventure
1521110,Action
1521110,Adventure
1521110,Casual
1521110,Indie
1724630,Casual
1724630,Indie
1609050,Indie
3465850,Action
3465850,Adventure
3465850,Indie
3465850,RPG
3465850,Strategy
3386290,Adventure
3215240,Indie
3215240,Strategy
3014520,Action
3014520,Adventure
2203590,Indie
2599180,Action
2599180,Casual
2599180,Indie
2599180,Strategy
2002520,Indie
2002520,Racing
2002520,Simulation
3601130,RPG
3601130,Free To Play
3386260,Adventure
3014510,Action
3014510,Casual
3014510,Indie
3014510,Early Access
3215230,Action
3215230,Adventure
3215230,Casual
3215230,Indie
3055970,Adventure
3055970,Casual
3055970,Indie
2445390,Casual
2445390,Indie
2445390,Racing
1803830,Action
1803830,Adventure
1803830,Casual
1803830,Strategy
1580210,Casual
1580210,Indie
1981540,Action
3601120,Casual
3601120,Indie
3386250,Adventure
3386250,Casual
3215200,Casual
3215200,Indie
3215200,Simulation
3215200,Free To Play
3055950,Action
3055950,Adventure
2445380,Action
2445380,Adventure
2203570,Action
2203570,Indie
2599150,Adventure
2599150,Indie
2599150,RPG
2599150,Strategy
1253920,Action
1253920,Adventure
1253920,Indie
1253920,RPG
1543520,Action
1543520,Adventure
1543520,Indie
3215190,Adventure
3215190,Indie
3215190,Free To Play
3386240,Indie
3386240,Simulation
3014490,Strategy
2445370,Indie
2599130,Action
2599130,Adventure
2599130,Casual
2599130,Indie
3685980,Action
3685980,Adventure
3685980,Casual
3685980,Indie
3685980,Strategy
3685980,Early Access
3601030,Adventure
3386230,Action
3386230,Adventure
3386230,Indie
3386230,Free To Play
3215170,Action
3215170,Casual
3215170,Indie
3014480,Strategy
3055810,Adventure
3055810,Casual
3055810,Indie
3055810,Early Access
2445350,Adventure
2445350,Casual
2445350,Indie
2445350,Strategy
2445350,Early Access
2203540,Indie
2203540,RPG
2599080,Action
2599080,Adventure
1598910,Indie
1521100,Action
1521100,Casual
1521100,Indie
1521100,Sports
1521100,Early Access
1724600,Casual
1724600,Simulation
3600990,Indie
3600990,Simulation
3600990,Early Access
3386200,Indie
